Date,AAPL,BTC,NVDA
2020-01-01,,7200.17431640625,
2020-01-02,72.40050506591797,6985.47021484375,5.9710774421691895
2020-01-03,71.69664001464844,7344.88427734375,5.875504493713379
2020-01-04,,7410.65673828125,
2020-01-05,,7411.3173828125,
2020-01-06,72.26793670654297,7769.21923828125,5.900144100189209
2020-01-07,71.92803955078125,8163.6923828125,5.971575736999512
2020-01-08,73.08513641357422,8079.86279296875,5.982776165008545
2020-01-09,74.63750457763672,7879.0712890625,6.0484819412231445
2020-01-10,74.80622863769531,8166.55419921875,6.080836772918701
2020-01-11,,8037.53759765625,
2020-01-12,,8192.494140625,
2020-01-13,76.40441131591797,8144.1943359375,6.271486759185791
2020-01-14,75.37271118164062,8827.7646484375,6.154508113861084
2020-01-15,75.04969024658203,8807.0107421875,6.111947059631348
2020-01-16,75.98982238769531,8723.7861328125,6.1955742835998535
2020-01-17,76.83110046386719,8929.0380859375,6.204286575317383
2020-01-18,,8942.80859375,
2020-01-19,,8706.2451171875,
2020-01-20,,8657.642578125,
2020-01-21,76.3104248046875,8745.89453125,6.170934677124023
2020-01-22,76.58280944824219,8680.8759765625,6.224944114685059
2020-01-23,76.95162963867188,8406.515625,6.2933878898620605
2020-01-24,76.7298355102539,8445.4345703125,6.234152793884277
2020-01-25,,8367.84765625,
2020-01-26,,8596.830078125,
2020-01-27,74.47356414794922,8909.8193359375,5.978294849395752
2020-01-28,76.58039855957031,9358.58984375,6.171681880950928
2020-01-29,78.18341064453125,9316.6298828125,6.111202716827393
2020-01-30,78.07010650634766,9508.9931640625,6.117921352386475
2020-01-31,74.60857391357422,9350.529296875,5.884464740753174
2020-02-01,,9392.875,
2020-02-02,,9344.365234375,
2020-02-03,74.40369415283203,9293.521484375,5.981530666351318
2020-02-04,76.86002349853516,9180.962890625,6.1507744789123535
2020-02-05,77.48677062988281,9613.423828125,6.241121292114258
2020-02-06,78.39310455322266,9729.8017578125,6.327983856201172
2020-02-07,77.32755279541016,9795.943359375,6.261778354644775
2020-02-08,,9865.119140625,
2020-02-09,,10116.673828125,
2020-02-10,77.6948013305664,9856.611328125,6.545013427734375
2020-02-11,77.22607421875,10208.236328125,6.66746711730957
2020-02-12,79.06000518798828,10326.0546875,6.783199787139893
2020-02-13,78.49700927734375,10214.3798828125,6.739395618438721
2020-02-14,78.51634216308594,10312.1162109375,7.212531089782715
2020-02-15,,9889.4248046875,
2020-02-16,,9934.43359375,
2020-02-17,,9690.142578125,
2020-02-18,77.07868194580078,10141.99609375,7.381277561187744
2020-02-19,78.19497680664062,9633.38671875,7.832513332366943
2020-02-20,77.39277648925781,9608.4755859375,7.683180332183838
2020-02-21,75.64098358154297,9686.44140625,7.319056510925293
2020-02-22,,9663.181640625,
2020-02-23,,9924.515625,
2020-02-24,72.04800415039062,9650.1748046875,6.801617622375488
2020-02-25,69.60760498046875,9341.705078125,6.522115707397461
2020-02-26,70.7118148803711,8820.5224609375,6.661494255065918
2020-02-27,66.08953094482422,8784.494140625,6.290677070617676
2020-02-28,66.05086517333984,8672.455078125,6.72574520111084
2020-02-29,,8599.5087890625,
2020-03-01,,8562.4541015625,
2020-03-02,72.20023345947266,8869.669921875,6.8841328620910645
2020-03-03,69.9072036743164,8787.7861328125,6.621647357940674
2020-03-04,73.14983367919922,8755.24609375,7.085354328155518
2020-03-05,70.77706909179688,9078.7626953125,6.805935382843018
2020-03-06,69.83712005615234,9122.5458984375,6.625383377075195
2020-03-07,,8909.9541015625,
2020-03-08,,8108.1162109375,
2020-03-09,64.3135757446289,7923.64453125,6.11236572265625
2020-03-10,68.94552612304688,7909.7294921875,6.501861095428467
2020-03-11,66.55101013183594,7911.43017578125,6.138017177581787
2020-03-12,59.978797912597656,4970.7880859375,5.3869218826293945
2020-03-13,67.16474151611328,5563.70703125,5.997809886932373
2020-03-14,,5200.3662109375,
2020-03-15,,5392.31494140625,
2020-03-16,58.52421569824219,5014.47998046875,4.891088485717773
2020-03-17,61.097530364990234,5225.62939453125,5.410829544067383
2020-03-18,59.601863861083984,5238.4384765625,5.050970554351807
2020-03-19,59.14519119262695,6191.19287109375,5.303742408752441
2020-03-20,55.390323638916016,6198.7783203125,5.123939037322998
2020-03-21,,6185.06640625,
2020-03-22,,5830.2548828125,
2020-03-23,54.213600158691406,6416.31494140625,5.296769142150879
2020-03-24,59.652610778808594,6734.8037109375,6.205505847930908
2020-03-25,59.323997497558594,6681.06298828125,6.116849899291992
2020-03-26,62.445804595947266,6716.4404296875,6.406230926513672
2020-03-27,59.860408782958984,6469.79833984375,6.293915748596191
2020-03-28,,6242.19384765625,
2020-03-29,,5922.04296875,
2020-03-30,61.56870651245117,6429.841796875,6.614176273345947
2020-03-31,61.44304656982422,6438.64453125,6.56461763381958
2020-04-01,58.21009826660156,6606.7763671875,6.053343772888184
2020-04-02,59.181427001953125,6793.62451171875,6.362151145935059
2020-04-03,58.33091354370117,6733.38720703125,6.074264049530029
2020-04-04,,6867.52734375,
2020-04-05,,6791.12939453125,
2020-04-06,63.4195556640625,7271.78125,6.684155464172363
2020-04-07,62.68499755859375,7176.41455078125,6.450808525085449
2020-04-08,64.28941345214844,7334.0986328125,6.648045063018799
2020-04-09,64.75333404541016,7302.08935546875,6.548430919647217
2020-04-10,,6865.4931640625,
2020-04-11,,6859.0830078125,
2020-04-12,,6971.091796875,
2020-04-13,66.02428436279297,6845.03759765625,6.720266819000244
2020-04-14,69.35871124267578,6842.427734375,7.071407794952393
2020-04-15,68.72566223144531,6642.10986328125,6.993957996368408
